start...
Finetuning mode
Load outputs/2023-08-31-14-55-19/trained_model/best_weight.pt...
Epoch: 218 / 1000, Score: -500,  block: 36,  Reward: -11.9661 Cleared lines: 0, col: 0/0/0/0 
Epoch: 219 / 1000, Score: -500,  block: 22,  Reward: -6.4964 Cleared lines: 0, col: 0/0/0/0 
Epoch: 220 / 1000, Score: -500,  block: 27,  Reward: -5.5009 Cleared lines: 0, col: 0/0/0/0 
Epoch: 221 / 1000, Score: -500,  block: 22,  Reward: -5.8540 Cleared lines: 0, col: 0/0/0/0 
Epoch: 222 / 1000, Score: -500,  block: 28,  Reward: -9.9856 Cleared lines: 0, col: 0/0/0/0 
Epoch: 223 / 1000, Score: -500,  block: 30,  Reward: -9.3004 Cleared lines: 0, col: 0/0/0/0 
Epoch: 224 / 1000, Score: -500,  block: 34,  Reward: -10.7059 Cleared lines: 0, col: 0/0/0/0 
Epoch: 225 / 1000, Score: -400,  block: 37,  Reward: -11.0381 Cleared lines: 1, col: 0/0/0/0 
Epoch: 226 / 1000, Score: -500,  block: 30,  Reward: -7.8087 Cleared lines: 0, col: 0/0/0/0 
Epoch: 227 / 1000, Score: -500,  block: 32,  Reward: -9.6005 Cleared lines: 0, col: 0/0/0/0 
Epoch: 228 / 1000, Score: -500,  block: 28,  Reward: -8.7333 Cleared lines: 0, col: 0/0/0/0 
Epoch: 229 / 1000, Score: -500,  block: 33,  Reward: -8.5848 Cleared lines: 0, col: 0/0/0/0 
Epoch: 230 / 1000, Score: -500,  block: 26,  Reward: -8.8197 Cleared lines: 0, col: 0/0/0/0 
Epoch: 231 / 1000, Score: -500,  block: 28,  Reward: -6.4635 Cleared lines: 0, col: 0/0/0/0 
Epoch: 232 / 1000, Score: -500,  block: 26,  Reward: -7.0693 Cleared lines: 0, col: 0/0/0/0 
Epoch: 233 / 1000, Score: -500,  block: 25,  Reward: -7.2428 Cleared lines: 0, col: 0/0/0/0 
Epoch: 234 / 1000, Score: -400,  block: 39,  Reward: -7.6804 Cleared lines: 1, col: 0/0/0/0 
Epoch: 235 / 1000, Score: -500,  block: 33,  Reward: -9.4835 Cleared lines: 0, col: 0/0/0/0 
Epoch: 236 / 1000, Score: -300,  block: 38,  Reward: -8.5266 Cleared lines: 2, col: 0/0/0/0 
